rounds,EBDP,PPIC_alpha2.0,PPIC_alpha1.5,PPIC_alpha1.0,PPIC_alpha0.5,PPIC_alpha0.1
25900,69807.6766279389,49699.8081435493,56511.8838772008,63092.7580538319,68876.7829421262,67033.1838142851
26000,70076.341097954,49775.0615666093,56596.8703956359,63194.1571654471,69045.9226995067,67179.65508863
26100,70206.2799531075,49830.3996586871,56723.7785476111,63255.9034354063,69162.6343285508,67360.5040342694
26200,70455.3651669163,49896.0893556828,56779.1167396323,63386.576764912,69289.1790984019,67497.7192724007
26300,70666.6919795931,49938.5655244556,56895.537567995,63508.3207074147,69433.23892699,67684.3675919925
26400,70818.7897845645,50015.1928796572,57000.5373399846,63578.7958223923,69623.9455329231,67836.2066430314
26500,71014.0605989782,50058.2603010666,57116.4121644716,63730.8211099384,69741.3174688962,68030.5150943521
26600,71262.6549594084,50153.5264475303,57202.1737739864,63880.8709473238,69938.3841030994,68217.4467880085
26700,71447.2557620552,50208.370650339,57348.2733133736,64013.761810511,70091.8047986558,68452.6192988373
26800,71640.9185677406,50326.252474949,57412.4842498175,64145.9596945857,70273.5978516068,68599.6304902478
26900,71853.3973560487,50347.8540898498,57508.9313886255,64226.9018694221,70407.8609233803,68796.4976002622
27000,72010.4930171128,50444.3512140218,57634.8175974878,64357.9877938495,70541.9076228818,68972.734101004
27100,72181.4220514189,50518.3305646863,57707.0342323518,64460.5699854576,70699.1215103111,69158.6848951073
27200,72359.2433834492,50584.733359538,57833.268480719,64574.7424862543,70834.8674943243,69380.2307922362
27300,72506.1736365146,50628.2379017102,57896.0017244868,64729.1395878406,70970.5654643083,69464.4954310121
