rounds,EBDP,PPIC_alpha2.0,PPIC_alpha1.5,PPIC_alpha1.0,PPIC_alpha0.5,PPIC_alpha0.1
26100,67786.5160052379,54298.3137895074,62780.7625620383,69950.4699065852,76323.012195714,73648.8905761782
26200,67998.6385173753,54346.8155225558,62900.2201757736,70108.8061091644,76451.7156620888,73831.5699608347
26300,68168.662393018,54394.4938913907,62983.8785603993,70178.2089106822,76557.7994001469,73985.3590311289
26400,68331.8406950578,54430.9492707589,63066.6475973541,70319.3240395219,76787.8793219514,74155.7056708927
26500,68521.7584249121,54515.5372848298,63149.1860879139,70423.1187796503,76935.2797998137,74335.7680643763
26600,68739.8495788372,54576.2045127715,63255.9060325361,70572.3246409202,77165.7912595036,74556.6799988989
26700,68938.1289811222,54697.0322967318,63386.4688766664,70721.487863092,77330.7962065375,74794.6514050815
26800,69118.8959648152,54721.3014462382,63490.9093139731,70871.5419056453,77459.3279797616,74911.9958244852
26900,69290.05637532,54817.736090314,63551.587668239,71026.7994498167,77610.5926494463,75156.2311870852
27000,69399.6183310666,54924.8556877418,63575.9316635384,71154.1044366581,77806.7714916373,75454.6757959694
27100,69582.3974428483,54974.0829181604,63635.1566008892,71341.6166881027,78002.7046663131,75680.192789855
27200,69780.6958732748,55058.6578691137,63705.2661126134,71513.0277894446,78155.0858178846,75864.5069425302
